   71 
   .6710E-01   .1300E-05 
   .7661E-01   .1460E-05
   .8747E-01   .1620E-05
   .9987E-01   .1780E-05
   .1140E+00   .1940E-05
   .1302E+00   .2100E-05
   .1486E+00   .2260E-05
   .1697E+00   .2420E-05
   .1938E+00   .2580E-05
   .2212E+00   .2740E-05
   .2526E+00   .2900E-05
   .2884E+00   .3060E-05
   .3293E+00   .3220E-05
   .3760E+00   .3380E-05
   .4293E+00   .3540E-05
   .4901E+00   .3700E-05
   .5596E+00   .3860E-05
   .6389E+00   .4020E-05
   .7295E+00   .4180E-05
   .8329E+00   .4340E-05
   .9510E+00   .4500E-05
   .1076E+01   .5080E-05
   .1217E+01   .5660E-05
   .1376E+01   .6240E-05
   .1556E+01   .6820E-05
   .1760E+01   .7400E-05
   .1999E+01   .8320E-05
   .2271E+01   .9240E-05
   .2580E+01   .1016E-04
   .2931E+01   .1108E-04
   .3330E+01   .1200E-04
   .3809E+01   .1240E-04
   .4357E+01   .1280E-04
   .4983E+01   .1320E-04
   .5700E+01   .1360E-04
   .6520E+01   .1400E-04
   .7508E+01   .1420E-04
   .8645E+01   .1440E-04
   .9955E+01   .1460E-04
   .1146E+02   .1480E-04
   .1320E+02   .1500E-04
   .1531E+02   .1340E-04
   .1776E+02   .1180E-04
   .2059E+02   .1020E-04
   .2388E+02   .8600E-05
   .2770E+02   .7000E-05
   .3220E+02   .6400E-05
   .3760E+02   .5800E-05
   .4370E+02   .5200E-05
   .5100E+02   .4500E-05
   .5950E+02   .3600E-05
   .6950E+02   .2900E-05
   .8120E+02   .2100E-05
   .9500E+02   .1600E-05
   .1110E+03   .1200E-05
   .1300E+03   .9000E-06
   .1530E+03   .7300E-06
   .1790E+03   .5200E-06
   .2090E+03   .3700E-06
   .2430E+03   .3000E-06
   .2810E+03   .2200E-06
   .3240E+03   .1800E-06
   .3720E+03   .1500E-06
   .4260E+03   .1300E-06
   .4870E+03   .1100E-06
   .5540E+03   .9200E-07
   .6280E+03   .8000E-07
   .7100E+03   .7000E-07
   .8020E+03   .6100E-07
   .9020E+03   .5600E-07
   .1013E+04   .5000E-07
